model,epochs,train_time_sec,mAP50,mAP50-95,precision,recall,f1_score,model_size_mb,inference_ms,run_dir
RoadSignNet-SAL-v5,100,0,0.4787447342832544,0,0.7768924297630195,0.626338329429155,0.6935383316638383,5.0,0,
RoadSignNet-MobileNetV3,100,0,0.582157036971609,0,0.5701468186908047,0.748394003882016,0.6472217310604718,10.0,0,
