model,epochs,train_time_sec,mAP50,mAP50-95,precision,recall,f1_score,model_size_mb,inference_ms,best_model_path
RoadSignNet-SAL (v5),100+,N/A,0.4787447342832544,N/A,0.7768924297630195,0.626338329429155,0.6935383316638383,~5,N/A,
RoadSignNet-MobileNetV3,100+,N/A,0.582157036971609,N/A,0.5701468186908047,0.748394003882016,0.6472217310604718,~10,N/A,
yolov8n.pt,30,1547.5206608772278,0.8827582114042206,0.751556400673482,0.8632986380914381,0.8107062245255559,0.836176275199283,5.973483085632324,3.459083824535682,C:\Users\T2510633\Downloads\RoadSignNet-SAL-main\RoadSignNet-SAL-main\outputs\comparison\runs\yolov8n_20260125_230909\weights\best.pt
yolov8s.pt,30,2315.98096036911,0.8992088896713298,0.7717174318988428,0.8451519511037057,0.8738737411731272,0.8592728967258054,21.504122734069824,3.48642483125472,C:\Users\T2510633\Downloads\RoadSignNet-SAL-main\RoadSignNet-SAL-main\outputs\comparison\runs\yolov8s_20260125_233548\weights\best.pt
yolo11n.pt,30,1734.9903395175934,0.8776352761959574,0.7608542803191043,0.8752117662610787,0.8290290465802507,0.8514946554672372,5.231951713562012,4.820355570690719,C:\Users\T2510633\Downloads\RoadSignNet-SAL-main\RoadSignNet-SAL-main\outputs\comparison\runs\yolo11n_20260126_001641\weights\best.pt
yolo11s.pt,30,2424.0709099769592,0.8896101794922056,0.7753078823967441,0.8703048837728193,0.8596360331275068,0.8649375551088608,18.31764507293701,4.761137718283227,C:\Users\T2510633\Downloads\RoadSignNet-SAL-main\RoadSignNet-SAL-main\outputs\comparison\runs\yolo11s_20260126_004630\weights\best.pt
